id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2018-743301,10/12/2018,1,Vente,172000,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,23,63.09,None,nan,None,None,None,None,None,None,1,2,Appartement,64,3,None,None,None,None,nan,2.644406,48.844072,000AE
2018-743301,10/12/2018,1,Vente,172000,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,120,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644406,48.844072,000AE
2018-743274,7/12/2018,1,Vente,195000,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,137,74.35,None,nan,None,None,None,None,None,None,1,2,Appartement,74,3,None,None,None,None,nan,2.642604,48.844414,000AE
2018-743274,7/12/2018,1,Vente,195000,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,159,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,RUE DE PARIS,390,77200,77468,Torcy,77,None,None,77468000AE0205,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,9,2.643598,48.849513,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,RUE DE PARIS,390,77200,77468,Torcy,77,None,None,77468000AE0206,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,50,2.643237,48.84947,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,RUE DE PARIS,390,77200,77468,Torcy,77,None,None,77468000AE0207,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,1,2.643302,48.849472,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,RUE DE PARIS,390,77200,77468,Torcy,77,None,None,77468000AE0214,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,298,2.642714,48.849404,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,PROM DU GALION,177,77200,77468,Torcy,77,None,None,77468000AE0122,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,1455,2.641667,48.847022,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,PROM DU GALION,177,77200,77468,Torcy,77,None,None,77468000AE0146,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,1427,2.643581,48.846778,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,RUE DE PARIS,390,77200,77468,Torcy,77,None,None,77468000AE0204,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,125,2.643442,48.849517,000AE
2018-742961,30/11/2018,1,Vente,1,nan,None,LE QUINQUONCE,B040,77200,77468,Torcy,77,None,None,77468000AE0038,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,T,terres,None,None,820,2.641177,48.849415,000AE
