fromage,fromageLabel,type,typeLabel
http://www.wikidata.org/entity/Q1192207,A Filetta,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q1192207,A Filetta,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q13218977,Abbaye de Belloc,http://www.wikidata.org/entity/Q1411808,sheep's-milk cheese
http://www.wikidata.org/entity/Q13218977,Abbaye de Belloc,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q13218977,Abbaye de Belloc,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2052108,abbaye de Citeaux,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q2052108,abbaye de Citeaux,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2052108,abbaye de Citeaux,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q2052108,abbaye de Citeaux,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q18628031,Abbaye de la Joie Notre-Dame,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q18628031,Abbaye de la Joie Notre-Dame,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q18628031,Abbaye de la Joie Notre-Dame,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q2820735,Abbaye de Tamié,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q2820735,Abbaye de Tamié,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2820735,Abbaye de Tamié,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q1531597,raw milk cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q3088330,pressed cooked cheese
http://www.wikidata.org/entity/Q322899,abondance,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q1962483,Affidélice,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q1962483,Affidélice,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q1962483,Affidélice,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q1962483,Affidélice,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q2287635,Aiguille d'Orcières,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2287635,Aiguille d'Orcières,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
